ID,Name,Country,Date of birth,Place of birth,Gold,Silver,Bronze,Event
8090,Simon Santoso,Indonesia,7/29/1985,TEGAL,0,0,0,Men's Singles
8091,Michele Santucci,Italy,5/30/1989,CASTIGLION FIORENTINO,0,0,0,Men's 4x100m Freestyle Relay
8092,Serik Sapiyev,Kazakhstan,11/16/1983,,0,0,0,Men's Welter (69kg)
8093,Aleksa Saponjic,Serbia,6/4/1992,Beograd (SRB),0,0,0,Men's Water Polo
8094,Danylo Sapunov,Ukraine,4/5/1982,ZAPORIZHZHYA,0,0,0,Men's Triathlon
8095,Fernando Saraiva Reis,Brazil,3/10/1990,Sao Paulo (BRA),0,0,0,Men's +105kg
8096,Aleksejs Saramotins,Latvia,4/8/1982,Riga (LAT),0,0,0,Men's Road Race
8097,Nikola Saranovic,Montenegro,11/23/1968,PODGORICA (MNE),0,0,0,"Men's 50m Pistol, Men's 10m Air Pistol"
8098,Arsen Sargsyan,Armenia,12/13/1984,VANADZOR (ARM),0,0,0,Men's Long Jump
8099,Shinta Mulia Sari,Singapore,6/14/1988,Jakarta,0,0,0,Women's Doubles
8100,Hazal Sarikaya,Turkey,9/4/1996,Istanbul (TUR),0,0,0,Women's 100m Backstroke
8101,Aaron Sarmiento,Spain,8/26/1986,LAS PALMAS (ESP),0,0,0,Men's 470
8102,Mauro Sarmiento,Italy,4/10/1983,Napoli,0,0,0,Men's -80kg
8103,Daniel Sarmiento Melian,Spain,8/25/1983,,0,0,0,Men's Handball
8104,Rahi Sarnobat,India,10/30/1990,KOLHAPUR (IND),0,0,0,Women's 25m Pistol
8105,Patricia Sarrapio,Spain,11/16/1982,Madrid (ESP),0,0,0,Women's Triple Jump
8106,Alessio Sartori,Italy,11/13/1976,,0,1,0,Men's Double Sculls
8107,Liva Saryee,Liberia,12/28/1988,Monrovia,0,0,0,Men's -81kg
8108,Jennet Saryyeva,Turkmenistan,3/30/1994,Ashgabat (TKM),0,0,0,Women's 400m Freestyle
8109,Sho Sasaki,Japan,6/30/1982,HOKUTO,0,0,0,Men's Singles
8110,Sergio Sasaki Junior,Brazil,3/31/1992,SAO BERNARDO CAMPO (BRA),0,0,0,"Men's Individual All-Around, Men's Qualification"
8111,Sandra Sassine,Canada,9/28/1979,,0,0,0,Women's Individual Sabre
8112,Romain Sassot,France,2/26/1986,SAINT RÉMY,0,0,0,Men's 4x100m Medley Relay
8113,Marianna Sastin,Hungary,7/10/1983,MOSONMAGYAROVAR (HUN),0,0,0,Women's 63kg Freestyle
8114,William Satch,GreatBritain,6/9/1989,,0,0,1,Men's Pair
8115,Ana Satila,Brazil,3/13/1996,ITURAMA (BRA),0,0,0,Women's Kayak (K1)
8116,Kenki Sato,Japan,7/11/1984,OGAWA,0,0,0,"Individual Eventing, Team Eventing, CHIPPIEH"
8117,Masako Sato,Japan,11/27/1987,YAZU,0,0,0,Women's Hockey
8118,Sayaka Sato,Japan,3/29/1991,SENDAI,0,0,0,Women's Singles
8119,Shoji Sato,Japan,9/19/1982,HIGASHIMURAYAMA,0,0,0,Men's Doubles
8120,Yuki Sato,Japan,11/26/1986,SHIMIZU,0,0,0,"Men's 5000m, Men's 10,000m"
8121,Martin Sauer,Germany,12/17/1982,,1,0,0,Men's Eight
8122,Becky Sauerbrunn,USA,6/6/1985,,0,0,0,Women's Football
8123,Jason Saunders,NewZealand,11/22/1990,Tauranga (NZL),0,0,0,Men's 470
8124,Julien Sauvage,France,8/2/1985,Avignon,0,0,0,Men's 10km Marathon
8125,Valerian Sauveplane,France,7/25/1980,Montpellier,0,0,0,"Men's 50m Rifle Prone, Men's 50m Rifle 3 Positions"
8126,Cristian Savani,Italy,2/22/1982,CASTIGLIONE DELLE STIVIERE,0,0,0,Men's Volleyball
8127,Katerine Savard,Canada,5/26/1993,PONT,0,0,0,"Women's 100m Butterfly, Women's 200m Butterfly, Women's 4x100m Medley Relay"
8128,Anastasia Savchenko,Russia,4/8/1989,Omsk,0,0,0,Women's Pole Vault
8129,Elena Savelyeva,Russia,6/16/1984,Tula,0,0,0,Women's Fly (51kg)
8130,Maja Savic,Montenegro,4/29/1976,,0,0,0,Women's Handball
8131,Yargeris Savigne,Cuba,11/13/1984,Guantanamo (CUB),0,0,0,Women's Triple Jump
8132,Mariya Savinova,Russia,8/13/1985,Chelyabinsk,0,0,0,Women's 800m
8133,Kristina Savitskaya,Russia,6/10/1991,Krasnoyarsk,0,0,0,Women's Heptathlon
8134,Elizabeta Savlinis,Russia,8/14/1987,Leningrad Region,0,0,0,"Women's 200m, Women's 4 x 100m Relay"
8135,Erislandy Savon Cotilla,Cuba,7/21/1990,Guantanamo (CUB),0,0,0,Men's Super Heavy (+91kg)
8136,Anzhelika Savrayuk,Italy,8/23/1989,LUTSK,0,0,0,Group All-Around
8137,Benjamin Savsek,Slovenia,3/24/1987,Ljubljana (SLO),0,0,0,Men's Canoe Single (C1)
8138,Homare Sawa,Japan,9/6/1978,,0,0,0,Women's Football
8139,Woroud Sawalha,Palestine,11/3/1991,ASIRAELSHAMALIA (PLE),0,0,0,Women's 800m
8140,Louisa Sawers,GreatBritain,5/26/1988,,0,0,0,"Women's Kayak Double (K2) 500m, Women's Kayak Four (K4) 500m"
8141,Mateusz Sawrymowicz,Poland,4/22/1987,LUBLIN,0,0,0,"Men's 400m Freestyle, Men's 1500m Freestyle"
8142,Goldie Sayers,GreatBritain,7/16/1982,Newmarket,0,0,0,Women's Javelin Throw
8143,Ramziddin Sayidov,Uzbekistan,4/14/1982,BUKHARA REGION (UZB),0,0,0,Men's -100kg
8144,Svetlana Saykina,Russia,7/10/1985,KOSTROMA,0,0,0,Women's Discus Throw
8145,Dzina Sazanavets,Belarus,10/25/1990,KLICHEV,0,0,0,Women's 69kg
8146,Mohamed Sbihi,GreatBritain,3/27/1988,,0,0,1,Men's Eight
8147,Susie Scanlan,USA,6/4/1990,,0,0,0,"Women's Individual Epee, Women's Team Epee"
8148,Mirco Scarantino,Italy,1/16/1995,SAN CATALDO,0,0,0,Men's 56kg
8149,Mariela Scarone,Argentina,10/4/1986,Buenos Aires (ARG),0,0,0,Women's Hockey
8150,Milos Scepanovic,Montenegro,10/9/1982,BELGRAD (SRB),0,0,0,Men's Water Polo
8151,Tobias Schadewaldt,Germany,9/20/1984,WILHELMSHAVEN,0,0,0,Men's 49er
8152,Fabian Schaer,Switzerland,12/20/1991,,0,0,0,Men's Football
8153,Sherraine Schalm,Canada,6/21/1975,,0,0,0,Women's Individual Epee
8154,Michael Schar,Switzerland,9/29/1986,Sursee,0,0,0,Men's Road Race
8155,Donatien Schauly,France,6/9/1985,Mulhouse,0,0,0,"Individual Eventing, Team Eventing, OCARINA DU CHANOIS"
8156,Sonja Scheibl,Germany,9/5/1979,BAD OLDESLOE,0,0,0,Women's Trap
8157,Gintare Scheidt,Lithuania,11/12/1982,Kaunas (LTU),0,0,0,Women's Laser Radial
8158,Robert Scheidt,Brazil,4/15/1973,Sao Paulo (BRA),0,0,0,Men's Star
8159,Lotta Schelin,Sweden,2/27/1984,,0,0,0,Women's Football
8160,Anne Schellekens,Netherlands,4/18/1986,,0,0,1,Women's Eight
8161,Juliane Schenk,Germany,11/26/1982,Krefeld,0,0,0,Women's Singles
8162,Reto Schenkel,Switzerland,4/28/1988,Lome (TOG),0,0,0,Men's 200m
8163,Sarah Scherer,USA,2/12/1991,Salt Lake City,0,0,0,Women's 10m Air Rifle
8164,Andreas Scherhaufer,Austria,7/24/1970,Wien (AUT),0,0,0,Men's Trap
8165,Christian Scherubl,Austria,4/6/1994,Graz (AUT),0,0,0,Men's 4x200m Freestyle Relay
8166,Patrick Scheuber,Switzerland,12/10/1986,Stans,0,0,0,Men's 10m Air Pistol
8167,Francesca Schiavone,Italy,6/23/1980,,0,0,0,"Women's Singles, Women's Doubles"
8168,Thorbjorn Schierup,Denmark,6/8/1990,Arhus (DEN),0,0,0,Men's Laser
8169,Stephanie Schiller,Germany,7/25/1986,,0,0,0,Women's Double Sculls
8170,Eva-Maria SCHIMAK,Austria,8/11/1986,SCHARDING (AUT),0,0,0,Women's 470
8171,Jessicah Schipper,Australia,11/19/1986,Brisbane (AUS),0,0,0,"Women's 100m Butterfly, Women's 200m Butterfly"
8172,Dafne Schippers,Netherlands,6/15/1992,Utrecht (NED),0,0,0,"Women's 200m, Women's 4 x 100m Relay, Women's Heptathlon"
8173,Silvio Schirrmeister,Germany,12/7/1988,Neubrandenburg,0,0,0,Men's 400m Hurdles
8174,Werner Schlager,Austria,9/28/1972,Wiener Neustadt (AUT),0,0,0,"Men's Singles, Men's Team"
8175,Carsten Schlangen,Germany,12/31/1980,MEPPEN,0,0,0,Men's 1500m
8176,Melanie Schlanger,Australia,8/31/1986,NAMBOUR (AUS),1,1,0,"Women's 100m Freestyle, Women's 4x100m Freestyle Relay, Women's 4x200m Freestyle Relay"
8177,Frank Schleck,Luxembourg,4/15/1980,Luxembourg (LUX),0,0,0,"Men's Individual Time Trial, Men's Road Race"
8178,Tim Schleicher,Germany,12/30/1988,Nurnberg,0,0,0,Men's 60kg Freestyle
8179,Alice Schlesinger,Israel,5/26/1988,HERZELEYA (ISR),0,0,0,Women's -63kg
8180,Annika Schleu,Germany,4/3/1990,Berlin,0,0,0,Women's Modern Pentathlon
8181,Roland Schlosser,Austria,8/23/1982,,0,0,0,Men's Individual Foil
8182,Matthias Schmid,Austria,12/12/1980,Wien (AUT),0,0,0,Men's 470
8183,Alice Schmidt,USA,10/3/1981,Chicago,0,0,0,Women's 800m
8184,Cristian Schmidt,Argentina,8/13/1982,Buenos Aires (ARG),0,0,0,Men's -100kg
8185,Florian Schmidt,Germany,3/31/1986,FRANKFURT/ODER,0,0,0,"Men's 50m Pistol, Men's 10m Air Pistol"
8186,Paloma Schmidt,Peru,1/24/1987,Lima (PER),0,0,0,Women's Laser Radial
8187,Richard Schmidt,Germany,5/23/1987,,1,0,0,Men's Eight
8188,Sebastian Schmidt,Germany,1/6/1985,,0,0,0,Men's Four
8189,Sophie Diana Schmidt,Canada,6/28/1988,,0,0,0,Women's Football
8190,Alain Schmitt,France,11/2/1983,FORBACH,0,0,0,Men's -81kg
8191,Allison Schmitt,USA,6/7/1990,Pittsburgh,2,1,1,"Women's 200m Freestyle, Women's 400m Freestyle, Women's 4x100m Freestyle Relay, Women's 4x200m Freestyle Relay"
8192,Dorothee Schneider,Germany,2/17/1969,WIESBADEN,0,0,0,"Individual Dressage, Team Dressage, DIVA ROYAL"
8193,Thomas Schneider,Germany,11/7/1988,FORST,0,0,0,Men's 4 x 400m Relay
8194,Zbigniew Schodowski,Poland,4/30/1987,,0,0,0,Men's Eight
8195,Riaan Schoeman,SouthAfrica,9/18/1989,VEREENIGING (RSA),0,0,0,Men's 400m Individual Medley
8196,Roland Schoeman,SouthAfrica,7/3/1980,Pretoria (RSA),0,0,0,"Men's 50m Freestyle, Men's 4x100m Freestyle Relay"
8197,Johannes Schoettler,Germany,8/27/1984,Hamburg,0,0,0,Men's Doubles
8198,Jon Schofield,GreatBritain,5/10/1985,,0,0,0,Men's Kayak Double (K2) 200m
8199,Adam Scholefield,GreatBritain,5/24/1985,Leeds,0,0,0,Men's Water Polo
8200,Lena Schoneborn,Germany,4/11/1986,TROISDORF,0,0,0,Women's Modern Pentathlon
8201,Lauritz Schoof,Germany,10/7/1990,,1,0,0,Men's Quadruple Sculls
8202,Joseph Schooling,Singapore,6/16/1995,Singapore (SIN),0,0,0,"Men's 100m Butterfly, Men's 200m Butterfly"
8203,Jochen Schops,Germany,10/8/1983,VILLINGEN,0,0,0,Men's Volleyball
8204,Daniel Schorn,Austria,10/21/1988,Zell am See (AUT),0,0,0,Men's Road Race
8205,Jasmin Schornberg,Germany,4/7/1986,LIPPSTADT,0,0,0,Women's Kayak (K1)
8206,Dirk Schrade,Germany,6/29/1978,Münsingen,1,0,0,"Individual Eventing, Team Eventing, KING ARTUS"
8207,Daniela Schreiber,Germany,6/26/1989,DESSAU,0,0,0,"Women's 100m Freestyle, Women's 4x100m Freestyle Relay, Women's 4x200m Freestyle Relay"
8208,Hinkelien Schreuder,Netherlands,2/13/1984,GOOR (NED),0,1,0,Women's 4x100m Freestyle Relay
8209,Gerco Schroder,Netherlands,7/28/1978,TUBBERGEN (NED),0,0,0,"Individual Jumping, Team Jumping, LONDON"
8210,David Schroeder,Germany,4/28/1985,Leipzig,0,0,0,Men's Canoe Double (C2)
8211,Beate Schrott,Austria,4/15/1988,SANKT POLTEN (AUT),0,0,0,Women's 100m Hurdles
8212,Timuzsin Schuch,Hungary,6/5/1985,,0,0,0,Men's Handball
8213,Simon Schuerch,Switzerland,12/2/1990,,0,0,0,Men's Lightweight Four
8214,Ronja Schuette,Germany,2/20/1990,,0,0,0,Women's Eight
8215,Christina Schuetze,Germany,10/25/1983,Dusseldorf,0,0,0,Women's Hockey
8216,Berengere Schuh,France,6/13/1984,AUXERRE,0,0,0,Women's Individual
8217,Rich Schuil,Netherlands,5/2/1973,,0,0,0,Men's Beach Volleyball
8218,Benjamin Schulte,Guam,12/22/1995,TAMUNING (GUM),0,0,0,Men's 10km Marathon
8219,Samuel Schultz,USA,12/11/1985,Missoula,0,0,0,Men's Cross-country
8220,Daniela Schultze,Germany,11/3/1990,,0,0,0,Women's Eight
8221,Jodie Schulz,Australia,8/18/1987,REDCLIFFE (AUS),0,0,0,Women's Hockey
8222,Matias Carlos Schulz,Argentina,2/12/1982,,0,0,0,Men's Handball
8223,Karl Schulze,Germany,3/5/1988,,1,0,0,Men's Quadruple Sculls
8224,Ralf Schumann,Germany,6/10/1962,Meissen,0,0,0,Men's 25m Rapid Fire Pistol
8225,Yvonne Schuring,Austria,1/4/1978,,0,0,0,Women's Kayak Double (K2) 500m
8226,Christian Schurr Voight,Mexico,8/20/1984,Washington,0,0,0,Men's 200m Breaststroke
8227,Nino Schurter,Switzerland,5/13/1986,Pfäffikon,0,0,0,Men's Cross-country
8228,Nicholas Schwab Alfaro,DominicanRepublic,8/24/1990,Miami (DOM),0,0,0,Men's 200m Freestyle
8229,Doris Schwaiger,Austria,2/28/1985,,0,0,0,Women's Beach Volleyball
8230,Stefanie Schwaiger,Austria,8/7/1986,,0,0,0,Women's Beach Volleyball
8231,Christina Schwanitz,Germany,12/24/1985,Dresden,0,0,0,Women's Shot Put
8232,Eduardo Schwank,Argentina,4/23/1986,,0,0,0,Men's Doubles
8233,Athos Schwantes,Brazil,2/13/1985,,0,0,0,Men's Individual Epee
8234,Jillian Schwartz,Israel,9/19/1979,ILINOS,0,0,0,Women's Pole Vault
8235,Sebastian Schwarz,Germany,10/2/1985,FREUDENSTADT,0,0,0,Men's Volleyball
8236,Viktoria Schwarz,Austria,7/2/1985,,0,0,0,Women's Kayak Double (K2) 500m
8237,Lilli Schwarzkopf,Germany,8/28/1983,NOWO,0,0,0,Women's Heptathlon
8238,Alex Schwazer,Italy,12/26/1984,Vipiteno,0,0,0,Men's 50km Race Walk
8239,Laura Schwensen,Germany,7/25/1991,,0,0,0,Women's Eight
8240,Pius Schwizer,Switzerland,8/13/1962,EICH,0,0,0,"Individual Jumping, Team Jumping, CARLINA IV"
8241,Diogo Sclebin,Brazil,5/6/1982,Rio De Janeiro (BRA),0,0,0,Men's Triathlon
8242,Luis Scola,Argentina,4/30/1980,,0,0,0,Men's Basketball
8243,Alex Scott,GreatBritain,10/14/1984,,0,0,0,Women's Football
8244,Coleman Scott,USA,4/19/1986,WAYNESBURG,0,0,0,Men's 60kg Freestyle
8245,Desiree Rose Marie Scott,Canada,7/31/1987,,0,0,0,Women's Football
8246,Dorian Scott,Jamaica,2/1/1982,New York,0,0,0,Men's Shot Put
8247,Ed Scott,GreatBritain,5/28/1988,Leeds,0,0,0,Men's Water Polo
8248,Jeremy Scott,USA,5/1/1981,Norfolk,0,0,0,Men's Pole Vault
8249,Jill Scott,GreatBritain,2/2/1987,,0,0,0,Women's Football
8250,Sharolyn Scott,CostaRica,10/27/1983,Limon (CRC),0,0,0,Women's 400m Hurdles
8251,Vaughn Scott,NewZealand,1/11/1990,Cape Town (RSA),0,0,0,Men's -80kg
8252,Danielle Scott-Arruda,USA,10/1/1972,Baton Rouge,0,0,0,Women's Volleyball
8253,Rebecca Scown,NewZealand,8/10/1983,,0,0,1,Women's Pair
8254,Fabio Scozzoli,Italy,8/3/1988,Lugo,0,0,0,"Men's 100m Breaststroke, Men's 4x100m Medley Relay"
8255,Jennifer Screen,Australia,2/26/1982,,0,0,0,Women's Basketball
8256,Salim Sdiri,France,10/26/1978,Ajaccio,0,0,0,Men's Long Jump
8257,Rachel Seaman,Canada,1/14/1986,Kapuskasing (CAN),0,0,0,Women's 20km Race Walk
8258,Greg Searle,GreatBritain,3/20/1972,,0,0,1,Men's Eight
8259,Ryan Seaton,Ireland,12/3/1987,BELFAST,0,0,0,Men's 49er
8260,Hassanine Sebei,Tunisia,1/21/1984,Tajerouine (TUN),0,0,0,Men's 20km Race Walk
8261,Roman Sebrle,CzechRepublic,11/26/1974,Lanskroun (CZE),0,0,0,Men's Decathlon
8262,Ibrahima Seck,Senegal,8/10/1989,,0,0,0,Men's Football
8263,Aljaz Sedej,Slovenia,5/30/1988,Ljubljana (SLO),0,0,0,Men's -81kg
8264,Alethea Nevada Sedgman,Australia,1/24/1994,Carlton (AUS),0,0,0,"Women's 10m Air Rifle, Women's 50m Rifle 3 Positions"
8265,Gregory Sedoc,Netherlands,10/16/1981,Amsterdam (NED),0,0,0,Men's 110m Hurdles
8266,Anna Sedoykina,Russia,8/1/1984,,0,0,0,Women's Handball
8267,Emily Seebohm,Australia,6/5/1992,Ashford (AUS),1,1,0,"Women's 100m Backstroke, Women's 4x100m Freestyle Relay, Women's 4x100m Medley Relay"
8268,Melanie Seeger,Germany,1/8/1977,BRANDENBURG,0,0,0,Women's 20km Race Walk
8269,Haris Seferovic,Switzerland,2/22/1992,,0,0,0,Men's Football
8270,Denis Sefik,Montenegro,9/20/1976,,0,0,0,Men's Water Polo
8271,Dino Sefir,Ethiopia,5/28/1988,Shoa (ETH),0,0,0,Men's Marathon
8272,Caroline Seger,Sweden,3/19/1985,,0,0,0,Women's Football
8273,Stina Segerstrom,Sweden,6/17/1982,,0,0,0,Women's Football
8274,Eric Sehn,Canada,11/16/1984,Edmonton (CAN),0,0,0,Men's 10m Platform
8275,Bastian Seibt,Germany,3/19/1978,,0,0,0,Men's Lightweight Four
8276,Renaldas Seibutis,Lithuania,7/23/1985,,0,0,0,Men's Basketball
8277,Melissa Seidemann,USA,6/26/1990,HOFFMAN ESTATES,0,0,0,Women's Water Polo
8278,Lisbeth Seierskilde,Denmark,12/5/1985,Roskilde (DEN),0,0,0,"Individual Dressage, RANEUR"
8279,Toni Seifert,Germany,4/14/1981,,0,0,0,Men's Four
8280,Elisabeth Seitz,Germany,11/4/1993,Heidelberg,0,0,0,"Women's Individual All-Around, Women's Team, Women's Qualification"
8281,Jasna Sekaric,Serbia,12/17/1965,Beograd (SRB),0,0,0,Women's 25m Pistol
8282,Ivana Sekyrova,CzechRepublic,10/13/1971,Klatovy (CZE),0,0,0,Women's Marathon
8283,Eran Sela,Israel,3/19/1985,HADERA (ISR),0,0,0,Men's 470
8284,Andrew Selby,GreatBritain,12/25/1988,,0,0,0,Men's Fly (52kg)
8285,Robyn Selby Smith,Australia,11/26/1980,,0,0,0,Women's Eight
8286,Paige Selenski,USA,6/30/1990,Kingston,0,0,0,Women's Hockey
8287,Alim Selimau,Belarus,1/26/1983,KASUMKENT,0,0,0,Men's 84kg Greco-Roman
8288,Kai Selvon,TrinidadTobago,4/13/1992,Arima (TRI),0,0,0,"Women's 200m, Women's 4 x 100m Relay"
8289,Linda Sembrant,Sweden,5/15/1987,,0,0,0,Women's Football
8290,Arlene Semeco Arismendi,Venezuela,1/11/1984,Caracas,0,0,0,"Women's 50m Freestyle, Women's 100m Freestyle"
8291,Andriy Semenov,Ukraine,7/4/1984,ORGEEV (MDA),0,0,0,Men's Shot Put
8292,Konstantin Semenov,Russia,6/9/1989,KYRGYZSTAN (),0,0,0,Men's Beach Volleyball
8293,Mingiyan Semenov,Russia,6/11/1990,KALMYKIA REGION,0,0,0,Men's 55kg Greco-Roman
8294,Caster Semenya,SouthAfrica,1/7/1991,Polokwane (RSA),0,0,0,Women's 800m
8295,Ilka Semmler,Germany,9/8/1985,,0,0,0,Women's Beach Volleyball
8296,Zinaida Sendriute,Lithuania,12/20/1984,SKUODAS (LTU),0,0,0,Women's Discus Throw
8297,Amy Sene,Senegal,4/6/1986,Lorient,0,0,0,Women's Hammer Throw
8298,Yakup Sener,Turkey,9/1/1990,TRABZON (TUR),0,0,0,Men's Light Welter (64kg)
8299,Ulrike Sennewald,Germany,5/10/1989,,0,0,0,Women's Eight
8300,Alessandra Sensini,Italy,1/26/1970,GROSSETO,0,0,0,Women's RS-X
8301,Jongho Seo,SouthKorea,6/20/1980,,0,0,0,Men's Hockey
8302,Hajung Seok,SouthKorea,1/11/1985,CHINA,0,0,0,Women's Team
8303,Jermaine Seoposenwe,SouthAfrica,10/12/1993,,0,0,0,Women's Football
8304,Amr Ibrahim Mostafa Seoud,Egypt,6/10/1986,DAMIETTA,0,0,0,"Men's 100m, Men's 200m"
8305,Hanna-Maria Seppala,Finland,12/13/1984,Kerava (FIN),0,0,0,"Women's 50m Freestyle, Women's 100m Freestyle, Women's 200m Freestyle"
8306,Andreas Seppi,Italy,2/21/1984,,0,0,0,"Men's Singles, Men's Doubles, Mixed Doubles"
8307,Bona Septano,Indonesia,9/22/1987,MEDAN,0,0,0,Men's Doubles
8308,Sandra Sepulveda,Colombia,3/3/1988,,0,0,0,Women's Football
8309,Xiang Wei Jasmine Ser,Singapore,9/24/1990,Singapore (SIN),0,0,0,"Women's 10m Air Rifle, Women's 50m Rifle 3 Positions"
8310,Kevin Seraphin,France,12/7/1989,,0,0,0,Men's Basketball
8311,Jesse Sergent,NewZealand,7/8/1988,FIELDING (NZL),0,0,1,Men's Team Pursuit
8312,Karine Sergerie,Canada,2/1/1985,Montreal (CAN),0,0,0,Women's -67kg
8313,Natalya Sergeyeva,Kazakhstan,5/3/1976,,0,0,0,"Women's Kayak Single (K1) 200m, Women's Kayak Single (K1) 500m"
8314,Andrea Seric,Croatia,8/3/1985,,0,0,0,Women's Handball
8315,Mohamed Serir,Algeria,12/6/1984,Alger (ALG),0,0,0,Men's 66kg Greco-Roman
8316,Alexander Serov,Russia,11/12/1982,Leningrad Region,0,0,0,Men's Team Pursuit
8317,Jesus Serrano,Spain,7/3/1978,TOMELLOSO (ESP),0,0,0,Men's Trap
8318,Juan Rene Serrano,Mexico,2/23/1984,GUADALAJARA,0,0,0,"Men's Individual, Men's Team"
8319,Sophia Serseri,France,12/1/1995,CHENOVE,0,0,0,"Women's Team, Women's Qualification"
8320,Ola Sesay,SierraLeone,5/30/1979,Freetown (SLE),0,0,0,Women's Long Jump
8321,Lauren Marie Sesselmann,Canada,8/14/1983,,0,0,0,Women's Football
8322,Marija Sestak,Slovenia,4/17/1979,Kragujevac (SRB),0,0,0,Women's Triple Jump
8323,Maria Fernanda Sesto,Argentina,10/8/1976,Buenos Aires (ARG),0,0,0,Women's 470
8324,Zarko Sesum,Serbia,6/16/1986,,0,0,0,Men's Handball
8325,Jadi Setiadi,Indonesia,2/2/1985,PRINGSEWU,0,0,0,Men's 56kg
8326,Karolina Sevastyanova,Russia,4/25/1995,UKRAINE,0,0,0,Group All-Around
8327,Brendan Sexton,Australia,8/6/1985,MAITLAND (AUS),0,0,0,Men's Triathlon
8328,Natalie Seymour,GreatBritain,9/29/1986,Preston,0,0,0,Women's Hockey
8329,Bunyami Sezer,Turkey,7/4/1988,TOKAT,0,0,0,Men's 69kg
8330,Eldesoky Shaban,Egypt,1/1/1983,KAFR ELSHEIKH,0,0,0,Men's 120kg Freestyle
8331,Ali Shabanau,Belarus,8/25/1989,KIZILIURT,0,0,0,Men's 66kg Freestyle
8332,Daulet Shabanbay,Kazakhstan,8/9/1993,Pavlodar (KAZ),0,0,0,Men's 120kg Freestyle
8333,Konstantin Shabanov,Russia,11/17/1989,Pskov,0,0,0,Men's 110m Hurdles
8334,Mohsen Shadi Naghadeh,Iran,6/4/1988,,0,0,0,Men's Single Sculls
8335,Vitaliy Shafar,Ukraine,1/27/1982,LUTS'K,0,0,0,Men's Marathon
8336,Imran Shah,Pakistan,9/25/1988,,0,0,0,Men's Hockey
8337,Prasiddha Jung Shah,Nepal,6/3/1989,KATHMANDU (NEP),0,0,0,Men's 50m Freestyle
8338,Syed Kashif Shah,Pakistan,10/24/1993,,0,0,0,Men's Hockey
8339,Wojdan Shaherkani,SaudiArabia,2/1/1996,Makkah,0,0,0,Women's +78kg
8340,Neda Shahsavari,Iran,9/21/1986,KERMANSHAH (IRI),0,0,0,Women's Singles
8341,Mona Shaito,Lebanon,5/12/1994,,0,0,0,Women's Individual Foil
8342,Zain Shaito,Lebanon,10/19/1990,,0,0,0,Men's Individual Foil
8343,Aminath Shajan,Maldives,10/29/1993,K.MALE (MDV),0,0,0,Women's 50m Freestyle
8344,Murat Shakenov,Kazakhstan,9/23/1990,Almaty (KAZ),0,0,0,Men's Water Polo
8345,Perri Shakes-Drayton,GreatBritain,12/21/1988,London,0,0,0,Women's 400m Hurdles
8346,Klodiana Shala,Albania,8/22/1979,Tiranë (ALB),0,0,0,Women's 200m
8347,Yelena Shalygina,Kazakhstan,12/15/1986,Almaty (KAZ),0,0,0,Women's 63kg Freestyle
8348,Danna Shan,China,10/8/1991,Zhejiang,0,0,0,Women's Volleyball
8349,Aida Shanaeva,Russia,4/23/1986,,0,1,0,"Women's Individual Foil, Women's Team Foil"
8350,Leith Shankland,SouthAfrica,6/30/1991,SPRINGS (RSA),0,0,0,Men's 4x100m Medley Relay
8351,Alison Shanks,NewZealand,12/13/1982,Dunedin (NZL),0,0,0,Women's Team Pursuit
8352,Eric Shanteau,USA,10/1/1983,Snellville,0,0,0,"Men's 100m Breaststroke, Men's 4x100m Medley Relay"
8353,Yiwen Shao,China,3/10/1995,Zhejiang,0,0,0,"Women's 400m Freestyle, Women's 800m Freestyle"
8354,Nimrod Shapira Bar-Or,Israel,3/25/1989,TEL,0,0,0,Men's 200m Freestyle
8355,Abdulkhakim Shapiyev,Kazakhstan,12/4/1983,Moscow,0,0,0,Men's 74kg Freestyle
8356,Tatsiana Sharakova,Belarus,7/31/1984,Orsha,0,0,0,"Women's Omnium, Women's Team Pursuit"
8357,Maria Sharapova,Russia,4/19/1987,,0,0,0,Women's Singles
8358,Abdullah Waleed Sharbatly,SaudiArabia,9/21/1982,London,0,0,0,"Individual Jumping, Team Jumping, SULTAN"
8359,Sharif Sharifov,Azerbaijan,11/11/1988,DAGESTAN,0,0,0,Men's 84kg Freestyle
8360,Dariya Sharipova,Ukraine,6/4/1990,CHERKASY,0,0,0,"Women's 10m Air Rifle, Women's 50m Rifle 3 Positions"
8361,Kayla Sharland,NewZealand,10/30/1985,Palmerston North (NZL),0,0,0,Women's Hockey
8362,Lynsey Sharp,GreatBritain,7/11/1990,Dumfries,0,0,0,Women's 800m
8363,David Sharpe,Canada,10/29/1990,Halifax (CAN),0,0,0,Men's 200m Butterfly
8364,Liubov Shashkova,Russia,12/4/1977,Moscow,0,0,0,Women's Volleyball
8365,Alexander Shatilov,Israel,3/22/1987,Tashkent (UZB),0,0,0,"Men's Individual All-Around, Men's Qualification"
8366,Lasha Shavdatuashvili,Georgia,1/31/1992,GORI (GEO),1,0,0,Men's -66kg
8367,Bradley Shaw,NewZealand,2/13/1983,,0,0,0,Men's Hockey
8368,Bryony Shaw,GreatBritain,4/28/1983,London,0,0,0,Women's RS-X
8369,Anzhelika Shevchenko,Ukraine,10/29/1987,SEVASTOPOL,0,0,0,Women's 1500m
